STROKE 1
160 152 1775892515.174000
163 140 1775892515.216000
165 140 1775892515.233000
169 140 1775892515.249000
174 140 1775892515.266000
180 145 1775892515.282000
186 152 1775892515.299000
192 162 1775892515.316000
193 170 1775892515.332000
193 176 1775892515.349000
186 180 1775892515.365000
180 181 1775892515.382000
175 181 1775892515.399000
172 181 1775892515.416000
170 179 1775892515.432000
169 175 1775892515.449000
169 172 1775892515.465000
169 169 1775892515.482000
172 168 1775892515.499000
177 168 1775892515.515000
187 168 1775892515.532000

STROKE 2
179 122 1775892515.807000
178 120 1775892516.015000
178 122 1775892516.031000
177 123 1775892516.048000
177 123 1775892516.065000

STROKE 3
189 182 1775892517.870000
183 184 1775892517.928000
183 190 1775892517.945000
183 198 1775892517.962000
184 206 1775892517.979000
186 214 1775892517.995000
189 219 1775892518.012000
191 222 1775892518.028000
193 222 1775892518.045000
195 222 1775892518.061000
204 222 1775892518.078000

