STROKE 1
122 124 1775798687.457000
114 130 1775798687.516000
113 138 1775798687.533000
113 145 1775798687.550000
117 152 1775798687.566000
124 156 1775798687.583000
132 158 1775798687.599000
142 158 1775798687.616000
150 158 1775798687.633000
158 153 1775798687.649000
162 146 1775798687.666000
164 140 1775798687.683000
164 133 1775798687.699000
164 128 1775798687.716000
162 125 1775798687.733000
158 124 1775798687.749000
156 124 1775798687.766000
154 124 1775798687.782000

STROKE 2
187 122 1775798687.956000
192 119 1775798688.016000
196 124 1775798688.032000
197 127 1775798688.049000
198 131 1775798688.050000
199 138 1775798688.065000
199 144 1775798688.082000
196 149 1775798688.099000
189 153 1775798688.115000
181 155 1775798688.132000
173 156 1775798688.148000
166 156 1775798688.165000
161 153 1775798688.182000
159 150 1775798688.199000
159 148 1775798688.215000

STROKE 3
198 146 1775798688.389000
198 136 1775798688.402000
198 131 1775798688.415000
201 128 1775798688.431000
206 126 1775798688.448000
213 125 1775798688.465000
221 125 1775798688.481000
228 126 1775798688.498000
232 131 1775798688.515000
233 137 1775798688.531000
233 144 1775798688.548000
233 149 1775798688.565000
231 154 1775798688.581000
230 156 1775798688.598000
229 158 1775798688.615000
229 159 1775798688.631000

STROKE 4
260 122 1775798688.805000
255 119 1775798688.965000
256 118 1775798688.981000
256 118 1775798688.998000
256 118 1775798689.065000
255 118 1775798689.081000
255 117 1775798689.098000
255 116 1775798689.114000

STROKE 5
264 155 1775798689.321000
261 151 1775798689.531000
261 150 1775798689.547000
261 150 1775798689.580000
259 150 1775798689.597000
258 150 1775798689.614000
258 149 1775798689.630000
258 149 1775798689.647000
258 148 1775798689.663000
258 150 1775798689.697000

