STROKE 1
131 118 1775644594.520000
124 123 1775644594.579000
124 129 1775644594.596000
124 135 1775644594.612000
126 140 1775644594.629000
129 143 1775644594.645000
135 145 1775644594.662000

STROKE 2
151 118 1775644594.803000
157 118 1775644594.862000
160 124 1775644594.878000
163 131 1775644594.895000
164 137 1775644594.912000
164 142 1775644594.929000
164 146 1775644594.945000
160 149 1775644594.962000
154 151 1775644594.978000
148 151 1775644594.995000
143 151 1775644595.011000
139 150 1775644595.028000
137 146 1775644595.044000
137 141 1775644595.061000
137 139 1775644595.078000
138 137 1775644595.094000
142 136 1775644595.111000
146 136 1775644595.128000
149 136 1775644595.144000
152 140 1775644595.161000

STROKE 3
177 122 1775644595.335000
180 126 1775644595.394000
180 133 1775644595.411000
182 141 1775644595.428000
184 149 1775644595.444000
185 157 1775644595.461000
185 165 1775644595.477000
185 173 1775644595.494000
185 180 1775644595.511000
181 187 1775644595.527000
176 191 1775644595.544000
170 193 1775644595.561000
164 194 1775644595.577000
158 194 1775644595.594000
152 192 1775644595.610000
148 186 1775644595.627000
145 178 1775644595.644000
145 168 1775644595.660000
145 157 1775644595.677000
147 149 1775644595.694000
152 146 1775644595.710000
156 145 1775644595.727000

STROKE 4
197 160 1775644595.951000
193 150 1775644596.027000
193 146 1775644596.044000
193 141 1775644596.060000
193 134 1775644596.077000
195 129 1775644596.093000
199 125 1775644596.110000
205 124 1775644596.127000
211 124 1775644596.143000
215 124 1775644596.159000
219 127 1775644596.176000
220 131 1775644596.193000
220 136 1775644596.209000
220 140 1775644596.226000
220 144 1775644596.243000
220 147 1775644596.259000
219 149 1775644596.276000
219 149 1775644596.293000
219 144 1775644596.326000
222 138 1775644596.343000
226 133 1775644596.359000
232 129 1775644596.376000
238 128 1775644596.392000
243 128 1775644596.409000
247 129 1775644596.426000
249 133 1775644596.442000
249 138 1775644596.459000
249 142 1775644596.476000
249 146 1775644596.492000
249 151 1775644596.509000
248 156 1775644596.526000
246 160 1775644596.542000
245 162 1775644596.559000

STROKE 5
243 122 1775644596.716000
235 124 1775644596.776000
230 124 1775644596.792000
225 122 1775644596.809000
220 115 1775644596.826000
217 107 1775644596.842000
217 100 1775644596.858000
217 94 1775644596.875000
223 91 1775644596.892000
231 90 1775644596.908000
240 90 1775644596.925000
248 90 1775644596.942000
258 97 1775644596.959000

