STROKE 1
107 140 1775637520.030000
115 131 1775637520.091000
124 131 1775637520.107000
133 133 1775637520.124000
138 137 1775637520.140000
140 142 1775637520.157000
140 148 1775637520.174000
135 152 1775637520.190000
130 155 1775637520.207000
124 157 1775637520.224000
119 159 1775637520.240000
112 159 1775637520.257000
107 159 1775637520.273000
103 154 1775637520.290000
102 146 1775637520.307000
102 135 1775637520.323000
102 126 1775637520.340000
108 118 1775637520.356000
117 113 1775637520.373000
125 110 1775637520.390000
133 109 1775637520.406000
140 109 1775637520.423000
147 109 1775637520.440000

STROKE 2
173 136 1775637520.630000
185 135 1775637520.673000
189 138 1775637520.690000
190 142 1775637520.706000
190 147 1775637520.723000
189 152 1775637520.740000
184 156 1775637520.756000
179 158 1775637520.773000
173 159 1775637520.789000
167 159 1775637520.806000
163 154 1775637520.823000
159 149 1775637520.839000
157 141 1775637520.856000
157 133 1775637520.872000
159 125 1775637520.889000
166 119 1775637520.906000
174 114 1775637520.922000
181 110 1775637520.939000
187 109 1775637520.956000
191 109 1775637520.972000
194 110 1775637520.989000
196 115 1775637521.006000
197 122 1775637521.022000
199 128 1775637521.039000
200 137 1775637521.055000
200 148 1775637521.072000
200 161 1775637521.089000
200 176 1775637521.105000
200 190 1775637521.122000
200 203 1775637521.138000
200 212 1775637521.155000
201 220 1775637521.172000
206 223 1775637521.188000
213 223 1775637521.205000
222 220 1775637521.222000
227 216 1775637521.238000

STROKE 3
204 143 1775637521.428000
199 132 1775637521.455000
201 128 1775637521.471000
208 123 1775637521.488000
219 118 1775637521.505000
228 115 1775637521.521000
233 115 1775637521.538000
235 115 1775637521.555000
236 122 1775637521.571000
237 130 1775637521.588000
237 138 1775637521.605000
237 147 1775637521.621000
236 156 1775637521.638000
234 163 1775637521.655000
233 166 1775637521.671000

STROKE 4
257 165 1775637521.895000
249 152 1775637521.920000
249 147 1775637521.938000
249 140 1775637521.954000
249 133 1775637521.971000
253 126 1775637521.987000
259 120 1775637522.004000
266 116 1775637522.021000
272 115 1775637522.037000
276 115 1775637522.054000
278 116 1775637522.070000
279 122 1775637522.087000
279 129 1775637522.104000
279 136 1775637522.121000
279 140 1775637522.137000
279 141 1775637522.154000
279 139 1775637522.187000
279 130 1775637522.204000
280 119 1775637522.221000
286 109 1775637522.237000
293 102 1775637522.254000
301 98 1775637522.270000
307 98 1775637522.287000
312 98 1775637522.303000
314 103 1775637522.320000
314 112 1775637522.337000
314 123 1775637522.353000
312 133 1775637522.370000
310 142 1775637522.387000
308 149 1775637522.403000
307 151 1775637522.420000
306 151 1775637522.437000

STROKE 5
304 102 1775637522.610000
288 107 1775637522.636000
281 107 1775637522.653000
275 107 1775637522.670000
271 104 1775637522.686000
269 96 1775637522.703000
269 85 1775637522.720000
275 73 1775637522.736000
292 61 1775637522.753000
318 54 1775637522.769000
330 53 1775637522.786000

