STROKE 1
132 129 1775579791.100000
135 119 1775579791.127000
141 116 1775579791.144000
152 114 1775579791.161000
165 114 1775579791.177000
175 117 1775579791.194000
181 124 1775579791.211000
183 133 1775579791.227000
183 143 1775579791.244000
179 154 1775579791.260000
173 163 1775579791.277000
169 169 1775579791.295000
165 172 1775579791.310000
161 172 1775579791.327000
158 172 1775579791.343000
155 169 1775579791.360000
153 162 1775579791.377000
153 156 1775579791.393000
153 149 1775579791.410000
158 143 1775579791.427000
167 137 1775579791.443000
175 133 1775579791.460000
182 130 1775579791.477000
187 129 1775579791.493000
189 129 1775579791.510000
191 128 1775579791.526000
193 126 1775579791.543000
196 124 1775579791.560000
198 120 1775579791.577000
201 116 1775579791.593000
203 111 1775579791.610000
204 107 1775579791.626000
206 104 1775579791.643000
207 103 1775579791.660000
210 103 1775579791.676000
213 106 1775579791.693000
217 114 1775579791.710000
219 122 1775579791.726000
219 130 1775579791.743000
217 138 1775579791.759000
209 145 1775579791.776000
200 150 1775579791.793000
193 152 1775579791.809000
187 152 1775579791.826000
182 151 1775579791.843000
178 145 1775579791.859000

STROKE 2
211 107 1775579792.049000
201 111 1775579792.075000
195 111 1775579792.092000
189 112 1775579792.109000
182 112 1775579792.126000
178 112 1775579792.142000
176 109 1775579792.159000
176 102 1775579792.176000
182 94 1775579792.192000
189 89 1775579792.209000
196 87 1775579792.225000
204 86 1775579792.242000
213 88 1775579792.259000
223 96 1775579792.275000

STROKE 3
225 147 1775579792.449000
223 158 1775579792.492000
223 163 1775579792.508000
224 168 1775579792.525000
225 173 1775579792.541000
226 179 1775579792.558000
227 184 1775579792.575000
228 188 1775579792.592000
229 191 1775579792.608000
231 191 1775579792.625000
238 186 1775579792.641000
250 174 1775579792.658000
258 170 1775579792.675000

