STROKE 1
140 131 1775906533.221000
147 126 1775906533.262000
152 128 1775906533.278000
156 133 1775906533.295000
158 139 1775906533.312000
159 145 1775906533.328000
159 151 1775906533.345000
155 156 1775906533.362000
149 158 1775906533.378000
142 159 1775906533.395000
136 159 1775906533.412000
132 159 1775906533.428000
129 158 1775906533.445000
129 156 1775906533.461000

STROKE 2
180 132 1775906533.637000
184 128 1775906533.694000
186 132 1775906533.711000
187 138 1775906533.728000
187 144 1775906533.744000
186 151 1775906533.761000
181 156 1775906533.777000
175 159 1775906533.794000
167 160 1775906533.811000
162 160 1775906533.827000
158 157 1775906533.844000
155 154 1775906533.861000
154 152 1775906533.877000

STROKE 3
203 129 1775906534.103000
210 129 1775906534.144000
213 135 1775906534.160000
215 141 1775906534.177000
215 147 1775906534.194000
215 152 1775906534.210000
211 156 1775906534.227000
204 158 1775906534.243000
196 158 1775906534.260000
189 158 1775906534.277000
183 155 1775906534.293000
180 153 1775906534.310000

