STROKE 1
172 159 1775580171.534000
170 158 1775580171.629000
166 163 1775580171.646000
161 165 1775580171.662000
157 166 1775580171.679000
153 166 1775580171.695000
151 161 1775580171.712000
151 151 1775580171.728000
152 142 1775580171.745000
157 134 1775580171.761000
160 131 1775580171.778000
164 129 1775580171.795000
168 129 1775580171.812000
172 129 1775580171.829000
175 133 1775580171.845000
178 139 1775580171.861000
180 147 1775580171.878000
181 157 1775580171.895000
183 167 1775580171.911000
184 176 1775580171.928000
184 185 1775580171.945000
184 194 1775580171.961000
184 202 1775580171.978000
184 209 1775580171.995000
184 214 1775580172.011000
184 219 1775580172.028000
184 221 1775580172.045000
187 221 1775580172.061000
194 219 1775580172.078000
204 210 1775580172.094000
210 205 1775580172.111000

STROKE 2
151 108 1775580172.368000
157 112 1775580172.394000
162 115 1775580172.411000
168 119 1775580172.427000
175 123 1775580172.444000

STROKE 3
207 179 1775580175.696000
210 179 1775580175.939000
208 179 1775580175.956000
207 179 1775580175.972000
206 179 1775580175.989000

