STROKE 1
132 150 1775805507.042000
146 149 1775805507.134000
149 149 1775805507.150000
150 152 1775805507.167000
150 155 1775805507.183000
150 157 1775805507.200000
150 160 1775805507.217000
150 163 1775805507.234000
146 165 1775805507.250000
143 166 1775805507.266000
139 166 1775805507.283000
134 166 1775805507.299000
130 161 1775805507.316000
127 153 1775805507.333000
127 146 1775805507.349000
127 140 1775805507.366000
128 134 1775805507.383000
133 132 1775805507.399000
139 130 1775805507.416000
144 130 1775805507.433000
146 131 1775805507.449000
148 133 1775805507.466000

STROKE 2
172 143 1775805507.807000
167 152 1775805507.916000
171 156 1775805507.932000
175 160 1775805507.949000
180 162 1775805507.966000
186 163 1775805507.982000
191 163 1775805507.999000
196 163 1775805508.015000
200 159 1775805508.032000
201 155 1775805508.049000
202 150 1775805508.065000
202 146 1775805508.082000
201 143 1775805508.098000
196 142 1775805508.115000
192 142 1775805508.132000
189 142 1775805508.148000
186 143 1775805508.165000
185 145 1775805508.181000
185 146 1775805508.198000
185 147 1775805508.215000
185 148 1775805508.231000
185 150 1775805508.248000
186 153 1775805508.265000
189 158 1775805508.282000

STROKE 3
204 149 1775805509.754000
211 139 1775805509.796000
214 139 1775805509.812000
218 139 1775805509.829000
222 140 1775805509.846000
225 142 1775805509.862000
227 145 1775805509.879000
227 147 1775805509.896000
227 150 1775805509.912000
227 153 1775805509.929000
227 156 1775805509.945000
227 158 1775805509.962000
227 161 1775805509.979000
226 163 1775805509.996000
226 165 1775805510.012000
225 167 1775805510.029000
224 170 1775805510.045000

STROKE 4
222 125 1775805510.318000
216 129 1775805510.412000
211 130 1775805510.428000
205 130 1775805510.445000
199 128 1775805510.462000
197 120 1775805510.478000
197 112 1775805510.495000
200 106 1775805510.512000
207 103 1775805510.528000
217 103 1775805510.544000

