STROKE 1
181 135 1775662146.019000
183 136 1775662146.076000
183 140 1775662146.093000
183 142 1775662146.110000
183 144 1775662146.126000
181 145 1775662146.143000
179 145 1775662146.160000
176 140 1775662146.176000
175 132 1775662146.193000
175 126 1775662146.209000
175 121 1775662146.226000
178 119 1775662146.243000
182 119 1775662146.259000
187 119 1775662146.276000
190 119 1775662146.292000
193 121 1775662146.309000
194 123 1775662146.326000
195 125 1775662146.343000
195 130 1775662146.359000
195 136 1775662146.376000
195 143 1775662146.393000
195 149 1775662146.409000
195 155 1775662146.426000
195 160 1775662146.442000
195 164 1775662146.459000
195 167 1775662146.475000
195 168 1775662146.492000
195 169 1775662146.509000
195 170 1775662146.525000
195 170 1775662146.542000

STROKE 2
190 99 1775662148.281000
190 98 1775662148.440000
190 96 1775662148.457000
190 95 1775662148.473000
191 95 1775662148.490000
192 95 1775662148.506000
193 95 1775662148.523000
193 95 1775662148.540000
193 96 1775662148.556000
193 97 1775662148.573000
192 97 1775662148.589000
190 97 1775662148.606000
189 97 1775662148.622000

STROKE 3
175 161 1775662150.662000
174 160 1775662150.737000
174 165 1775662150.754000
174 170 1775662150.770000
174 175 1775662150.786000
174 180 1775662150.803000
174 184 1775662150.820000
174 188 1775662150.836000
174 190 1775662150.853000
174 192 1775662150.870000
176 192 1775662150.886000
178 192 1775662150.903000
181 192 1775662150.919000
185 192 1775662150.936000
189 192 1775662150.952000
196 191 1775662150.969000

