STROKE 1
149 161 1775890729.610000
142 154 1775890729.669000
142 149 1775890729.686000
142 143 1775890729.703000
143 137 1775890729.719000
147 131 1775890729.736000
152 127 1775890729.752000
157 125 1775890729.769000
161 124 1775890729.785000
165 124 1775890729.802000
167 124 1775890729.819000
169 126 1775890729.836000
170 131 1775890729.852000
170 135 1775890729.869000
171 138 1775890729.885000
171 140 1775890729.902000
171 140 1775890729.919000
171 138 1775890729.952000
173 132 1775890729.969000
178 125 1775890729.985000
185 121 1775890730.002000
191 119 1775890730.019000
197 118 1775890730.035000
202 118 1775890730.052000
204 120 1775890730.069000
206 125 1775890730.085000
207 130 1775890730.102000
208 137 1775890730.118000
208 143 1775890730.135000
208 150 1775890730.152000
208 158 1775890730.168000
208 166 1775890730.185000
207 174 1775890730.202000
204 182 1775890730.218000
201 189 1775890730.235000
196 195 1775890730.251000
190 200 1775890730.268000
181 204 1775890730.285000
170 206 1775890730.301000
158 207 1775890730.318000
147 207 1775890730.335000
136 206 1775890730.351000
128 198 1775890730.368000
121 185 1775890730.384000
117 167 1775890730.401000
116 146 1775890730.418000
116 125 1775890730.434000
120 107 1775890730.451000
129 93 1775890730.468000
141 83 1775890730.484000
158 75 1775890730.501000
181 71 1775890730.518000
207 71 1775890730.535000

STROKE 2
163 104 1775890730.876000
168 102 1775890731.118000
167 102 1775890731.134000
166 101 1775890731.150000
166 101 1775890731.167000

