STROKE 1
112 142 1775638276.394000
114 134 1775638276.423000
119 133 1775638276.438000
123 133 1775638276.455000
127 135 1775638276.471000
130 139 1775638276.488000
133 143 1775638276.504000
134 149 1775638276.521000
134 154 1775638276.538000
132 158 1775638276.554000
126 161 1775638276.571000
120 163 1775638276.588000
114 163 1775638276.604000
107 163 1775638276.621000
101 158 1775638276.638000
98 149 1775638276.654000
98 138 1775638276.671000
98 126 1775638276.687000
102 115 1775638276.704000
107 107 1775638276.721000
114 102 1775638276.738000
120 100 1775638276.754000
126 100 1775638276.771000
130 100 1775638276.787000
133 102 1775638276.804000
135 104 1775638276.821000

STROKE 2
151 129 1775638277.011000
148 139 1775638277.071000
148 145 1775638277.087000
148 151 1775638277.104000
150 156 1775638277.120000
154 159 1775638277.137000
158 160 1775638277.154000
162 160 1775638277.170000
167 159 1775638277.187000
170 155 1775638277.204000
173 149 1775638277.220000
174 144 1775638277.237000
175 138 1775638277.254000
175 131 1775638277.270000
175 125 1775638277.287000
175 120 1775638277.303000
174 117 1775638277.320000
173 117 1775638277.337000
173 117 1775638277.353000

STROKE 3
196 122 1775638277.527000
203 123 1775638277.587000
206 127 1775638277.603000
208 129 1775638277.620000
209 132 1775638277.621000
210 137 1775638277.636000
210 142 1775638277.653000
210 148 1775638277.670000
205 153 1775638277.686000
198 156 1775638277.703000
191 158 1775638277.719000
184 158 1775638277.736000
179 155 1775638277.753000
176 151 1775638277.770000
174 149 1775638277.786000

STROKE 4
207 150 1775638277.993000
208 137 1775638278.019000
211 131 1775638278.036000
215 128 1775638278.052000
221 126 1775638278.069000
227 125 1775638278.085000
233 125 1775638278.102000
239 125 1775638278.119000
242 127 1775638278.135000
243 133 1775638278.152000
243 141 1775638278.169000
243 149 1775638278.185000
243 156 1775638278.202000
242 161 1775638278.219000
240 164 1775638278.235000
239 165 1775638278.252000
239 165 1775638278.269000

STROKE 5
267 166 1775638278.426000
261 155 1775638278.469000
259 150 1775638278.485000
259 145 1775638278.502000
259 139 1775638278.518000
262 133 1775638278.535000
268 128 1775638278.552000
274 125 1775638278.568000
279 125 1775638278.585000
282 125 1775638278.601000
284 129 1775638278.618000
286 134 1775638278.635000
286 140 1775638278.651000
286 145 1775638278.668000
286 148 1775638278.685000
286 150 1775638278.701000
286 150 1775638278.718000
286 150 1775638278.735000
286 144 1775638278.751000
289 135 1775638278.768000
295 127 1775638278.785000
303 121 1775638278.801000
309 119 1775638278.818000
314 119 1775638278.835000
318 120 1775638278.851000
321 128 1775638278.868000
322 136 1775638278.884000
323 144 1775638278.901000
323 150 1775638278.918000
323 155 1775638278.934000
320 158 1775638278.951000

STROKE 6
313 122 1775638279.124000
307 123 1775638279.151000
301 123 1775638279.168000
295 123 1775638279.184000
289 122 1775638279.201000
284 116 1775638279.217000
281 107 1775638279.234000
281 98 1775638279.251000
281 91 1775638279.267000
288 87 1775638279.284000
298 87 1775638279.301000
318 88 1775638279.317000
332 94 1775638279.334000

