STROKE 1
114 161 1775905716.614000
123 164 1775905716.672000
127 167 1775905716.688000
131 170 1775905716.705000
132 173 1775905716.722000
132 176 1775905716.738000
132 178 1775905716.755000
129 178 1775905716.771000
123 178 1775905716.788000
118 178 1775905716.805000
113 174 1775905716.822000
111 168 1775905716.838000
110 162 1775905716.855000
110 156 1775905716.871000
110 150 1775905716.888000
113 145 1775905716.905000
118 143 1775905716.921000
123 142 1775905716.938000
128 142 1775905716.955000
136 142 1775905716.971000
141 145 1775905716.988000

STROKE 2
163 152 1775905717.297000
174 148 1775905717.355000
178 152 1775905717.371000
180 156 1775905717.388000
181 161 1775905717.404000
181 165 1775905717.421000
181 169 1775905717.437000
178 171 1775905717.454000
174 172 1775905717.471000
171 173 1775905717.487000
169 173 1775905717.504000
168 173 1775905717.520000

STROKE 3
186 155 1775905719.726000
193 149 1775905719.785000
197 149 1775905719.801000
202 149 1775905719.817000
206 149 1775905719.834000
210 149 1775905719.851000
212 151 1775905719.867000
213 156 1775905719.884000
214 161 1775905719.901000
214 166 1775905719.917000
214 170 1775905719.934000
214 172 1775905719.950000
214 174 1775905719.967000
214 175 1775905719.983000
214 176 1775905720.000000

STROKE 4
230 154 1775905720.226000
234 147 1775905720.467000
232 148 1775905720.483000
230 148 1775905720.499000
230 148 1775905720.516000

STROKE 5
235 176 1775905720.791000
232 177 1775905721.083000
231 178 1775905721.099000
231 178 1775905721.115000

