STROKE 1
99 157 1775906063.878000
106 151 1775906063.986000
108 156 1775906064.003000
108 161 1775906064.019000
108 166 1775906064.036000
102 169 1775906064.052000
96 170 1775906064.069000
91 170 1775906064.085000
88 164 1775906064.102000
88 157 1775906064.119000
88 150 1775906064.135000
89 144 1775906064.152000
94 139 1775906064.168000
99 135 1775906064.185000
105 134 1775906064.202000
111 134 1775906064.218000
119 135 1775906064.235000

STROKE 2
136 138 1775906068.006000
131 143 1775906068.080000
131 145 1775906068.097000
131 147 1775906068.098000
131 151 1775906068.113000
132 156 1775906068.130000
135 159 1775906068.146000
141 163 1775906068.163000
149 164 1775906068.179000
156 165 1775906068.196000
162 165 1775906068.212000
166 164 1775906068.229000
167 160 1775906068.246000
167 155 1775906068.262000
166 149 1775906068.279000
163 143 1775906068.296000
160 138 1775906068.312000
158 136 1775906068.329000
155 135 1775906068.346000
155 135 1775906068.362000

STROKE 3
143 158 1775906070.519000
144 149 1775906070.576000
145 147 1775906070.593000
148 146 1775906070.610000
151 146 1775906070.626000
155 146 1775906070.643000
158 147 1775906070.660000
160 149 1775906070.676000
161 152 1775906070.692000
163 158 1775906070.709000

STROKE 4
167 151 1775906071.334000
168 142 1775906071.358000
168 138 1775906071.375000
172 136 1775906071.391000
178 135 1775906071.408000
183 135 1775906071.425000
189 135 1775906071.441000
193 137 1775906071.458000
194 142 1775906071.475000
195 147 1775906071.491000
195 151 1775906071.508000
195 156 1775906071.525000
195 161 1775906071.541000

