STROKE 1
139 132 1775711434.853000
137 137 1775711434.913000
138 145 1775711434.930000
142 151 1775711434.947000
147 157 1775711434.963000
153 160 1775711434.980000
160 161 1775711434.996000
167 161 1775711435.013000
173 161 1775711435.030000
177 159 1775711435.046000
180 155 1775711435.063000
181 149 1775711435.080000
181 143 1775711435.096000
181 138 1775711435.113000
180 134 1775711435.130000
177 134 1775711435.146000
175 134 1775711435.163000

STROKE 2
180 158 1775711435.436000
181 146 1775711435.462000
182 141 1775711435.479000
184 136 1775711435.495000
189 133 1775711435.512000
195 132 1775711435.529000
202 132 1775711435.545000
209 133 1775711435.562000
213 137 1775711435.579000
216 143 1775711435.595000
217 149 1775711435.612000
217 156 1775711435.629000
217 162 1775711435.645000
216 167 1775711435.662000
215 172 1775711435.679000

STROKE 3
211 127 1775711435.868000
204 129 1775711435.929000
201 130 1775711435.945000
197 130 1775711435.962000
194 130 1775711435.979000
191 127 1775711435.995000
191 121 1775711436.012000
191 114 1775711436.028000
194 109 1775711436.045000
202 106 1775711436.061000
210 106 1775711436.078000
216 106 1775711436.095000
219 110 1775711436.112000
220 115 1775711436.128000
220 120 1775711436.145000
219 125 1775711436.162000
214 128 1775711436.178000
207 133 1775711436.195000

STROKE 4
214 177 1775711436.567000
215 177 1775711436.627000
215 182 1775711436.644000
215 185 1775711436.661000
215 188 1775711436.661000
215 194 1775711436.678000
215 199 1775711436.694000
216 203 1775711436.711000
218 205 1775711436.727000
222 205 1775711436.744000
229 205 1775711436.761000
236 205 1775711436.777000

