STROKE 1
146 124 1775644561.452000
156 118 1775644561.494000
162 120 1775644561.511000
169 126 1775644561.528000
173 133 1775644561.544000
175 141 1775644561.561000
176 149 1775644561.578000
176 155 1775644561.594000
172 160 1775644561.611000
165 164 1775644561.628000
158 165 1775644561.644000
151 166 1775644561.661000
147 166 1775644561.677000
146 162 1775644561.694000
146 156 1775644561.710000
148 151 1775644561.727000
154 148 1775644561.744000
162 146 1775644561.760000
170 146 1775644561.777000
180 147 1775644561.794000

STROKE 2
211 127 1775644561.984000
201 127 1775644562.094000
201 132 1775644562.110000
204 138 1775644562.127000
206 143 1775644562.143000
206 148 1775644562.160000
206 151 1775644562.177000
206 154 1775644562.193000
202 154 1775644562.210000
198 154 1775644562.226000
196 153 1775644562.243000
195 151 1775644562.260000
194 150 1775644562.276000
194 149 1775644562.293000
194 148 1775644562.309000
194 148 1775644562.326000
196 148 1775644562.343000
198 148 1775644562.359000
200 149 1775644562.376000
202 155 1775644562.393000
203 163 1775644562.409000
204 173 1775644562.426000
204 184 1775644562.443000
205 195 1775644562.459000
205 205 1775644562.476000
205 213 1775644562.493000
205 218 1775644562.509000
205 220 1775644562.526000

STROKE 3
220 107 1775644562.683000
215 110 1775644562.743000
208 115 1775644562.759000
201 117 1775644562.776000
195 117 1775644562.792000
190 113 1775644562.809000
187 105 1775644562.826000
187 97 1775644562.842000
187 90 1775644562.859000
191 84 1775644562.875000
199 79 1775644562.892000
208 76 1775644562.909000
216 75 1775644562.925000
221 75 1775644562.942000
226 80 1775644562.959000
229 85 1775644562.975000

STROKE 4
231 164 1775644563.399000
234 152 1775644563.424000
234 149 1775644563.441000
234 149 1775644563.458000
234 150 1775644563.558000
232 150 1775644563.575000
231 151 1775644563.591000
230 151 1775644563.608000
229 151 1775644563.624000
229 150 1775644563.658000
229 150 1775644563.674000

STROKE 5
226 127 1775644563.898000
230 128 1775644564.108000
230 128 1775644564.124000
230 128 1775644564.140000

