STROKE 1
138 168 1775710711.067000
147 165 1775710711.128000
151 168 1775710711.145000
156 172 1775710711.162000
158 176 1775710711.178000
160 180 1775710711.195000
161 184 1775710711.211000
161 187 1775710711.228000
160 188 1775710711.245000
155 189 1775710711.261000
150 189 1775710711.278000
144 188 1775710711.294000
140 184 1775710711.311000
135 178 1775710711.328000
133 171 1775710711.344000
132 164 1775710711.361000
132 157 1775710711.377000
132 150 1775710711.394000
135 146 1775710711.411000
142 144 1775710711.427000
150 144 1775710711.444000
164 147 1775710711.460000

STROKE 2
172 153 1775710716.527000
181 144 1775710716.588000
189 144 1775710716.604000
197 144 1775710716.621000
204 145 1775710716.637000
210 146 1775710716.655000
213 147 1775710716.671000
214 148 1775710716.687000
214 149 1775710716.704000
213 150 1775710716.720000
211 151 1775710716.737000
208 153 1775710716.753000
204 155 1775710716.770000
199 157 1775710716.787000
194 159 1775710716.803000
190 161 1775710716.820000
188 162 1775710716.836000
187 163 1775710716.853000
188 163 1775710716.887000
193 164 1775710716.903000
199 167 1775710716.920000
204 170 1775710716.937000
209 173 1775710716.953000
211 176 1775710716.970000
212 179 1775710716.986000
212 182 1775710717.003000
211 184 1775710717.019000
207 186 1775710717.036000
202 188 1775710717.052000
197 189 1775710717.069000
193 190 1775710717.086000
192 191 1775710717.102000

