STROKE 1
189 110 1775638313.294000
176 110 1775638313.320000
172 110 1775638313.337000
171 111 1775638313.354000
171 115 1775638313.370000
171 120 1775638313.387000
174 126 1775638313.404000
179 131 1775638313.421000
183 136 1775638313.437000
186 141 1775638313.454000
186 145 1775638313.470000
186 149 1775638313.487000
181 153 1775638313.504000
174 155 1775638313.520000
168 156 1775638313.537000
163 156 1775638313.553000
160 156 1775638313.570000
159 156 1775638313.587000
159 153 1775638313.603000
159 151 1775638313.620000
163 149 1775638313.637000
166 149 1775638313.653000
168 149 1775638313.670000
170 149 1775638313.687000
172 154 1775638313.703000
174 163 1775638313.720000
176 174 1775638313.737000
178 185 1775638313.753000
179 195 1775638313.770000
180 202 1775638313.787000
180 206 1775638313.803000
180 207 1775638313.820000

STROKE 2
188 155 1775638313.993000
186 143 1775638314.007000
186 136 1775638314.019000
187 131 1775638314.036000
191 128 1775638314.053000
198 126 1775638314.069000
205 125 1775638314.086000
211 125 1775638314.103000
214 126 1775638314.119000
216 132 1775638314.136000
217 138 1775638314.153000
217 145 1775638314.169000
217 151 1775638314.186000
216 156 1775638314.203000
214 160 1775638314.219000
213 162 1775638314.236000
213 162 1775638314.252000

STROKE 3
235 135 1775638314.376000
235 123 1775638314.389000
235 118 1775638314.402000
235 117 1775638314.419000
235 120 1775638314.452000

STROKE 4
244 168 1775638314.592000
243 157 1775638314.606000
243 150 1775638314.618000
243 149 1775638314.635000
243 151 1775638314.652000

